DocI	tf
115	1
119	1
58	1
4	1
33	1
34	1
56	1
28	1
92	1
13	3
26	1
63	2
64	3
70	1
4	6
52	1
53	1
119	1
34	1
40	1
99	1
124	1
21	1
48	1
70	1
60	1
83	1
87	1
43	2
50	2
84	3
106	1
109	1
48	2
49	1
74	1
65	1
66	1
90	1
126	2
126	2
53	1
10	1
13	1
26	1
46	2
60	8
71	8
85	9
113	2
6	1
113	1
130	1
2	1
3	2
4	2
5	1
6	1
7	2
8	3
9	1
10	2
11	1
12	1
13	1
14	2
16	3
17	1
18	4
19	2
20	1
21	1
22	1
23	2
24	1
25	3
26	2
27	3
28	2
30	5
31	2
32	2
33	1
34	2
35	1
36	3
37	2
38	5
39	5
40	2
42	2
43	3
44	1
45	4
46	2
47	1
48	3
49	5
50	3
52	2
53	3
54	1
55	3
56	3
57	1
58	5
60	7
61	1
62	4
63	8
64	3
65	2
66	1
67	1
68	1
69	3
70	5
71	1
72	2
73	2
74	5
75	3
76	1
77	2
78	1
79	3
80	3
81	3
82	1
83	1
84	1
85	1
86	1
87	1
88	1
89	1
90	2
92	2
93	3
94	4
95	4
96	1
97	2
98	1
99	2
101	1
102	2
103	1
104	3
105	1
106	1
107	3
108	1
109	1
110	1
111	1
112	3
113	4
114	1
115	1
116	1
117	3
118	1
119	3
120	1
121	2
122	3
124	9
126	1
127	6
128	2
129	1
130	1
34	1
74	1
98	1
6	1
20	1
21	1
26	1
27	1
40	1
42	1
43	1
44	1
47	1
48	1
49	1
50	1
57	1
58	1
70	1
73	1
74	1
80	1
81	1
83	1
84	1
87	1
88	1
89	1
90	1
115	1
119	1
6	10
20	1
46	1
111	2
21	1
60	2
92	1
6	1
16	1
20	1
23	1
24	1
38	1
60	1
87	1
95	2
102	1
119	1
121	1
32	1
90	1
6	1
7	2
12	2
18	1
21	4
27	2
39	1
50	1
57	2
62	2
68	1
70	1
72	1
74	1
75	2
79	1
80	3
86	1
87	1
88	1
95	1
99	1
103	1
105	1
108	1
120	1
124	1
129	2
130	2
10	1
18	1
40	1
58	1
66	1
6	1
14	1
20	1
22	1
30	1
44	1
49	1
50	1
58	2
60	1
68	1
70	1
78	1
79	1
80	1
81	1
85	1
87	2
95	1
97	1
99	1
101	1
113	1
127	2
128	1
81	1
119	1
76	1
127	1
17	1
32	1
38	1
40	1
47	1
60	2
64	2
71	1
79	1
105	2
120	1
20	1
31	1
4	1
5	1
6	1
7	1
10	3
11	1
16	2
22	2
23	1
26	1
27	2
30	1
31	1
34	1
38	1
39	1
45	1
47	2
48	1
49	2
52	1
54	1
55	1
56	4
57	1
58	1
60	3
62	1
63	1
66	1
68	1
70	1
72	1
75	3
76	1
77	1
80	3
81	2
89	2
97	2
98	1
103	1
104	1
106	1
108	2
113	3
114	1
116	1
119	3
120	2
121	1
122	1
124	1
127	2
128	1
56	1
119	1
16	1
31	1
33	1
34	1
36	1
61	1
65	1
67	1
75	1
107	1
113	2
127	2
129	1
30	1
14	3
2	1
6	2
11	2
12	1
14	1
27	1
32	1
39	1
42	2
44	1
45	1
50	5
52	1
53	1
60	2
62	1
65	1
73	1
77	1
95	1
105	2
106	1
112	1
114	1
127	1
20	1
25	1
38	1
45	1
50	3
53	1
56	2
57	1
62	1
66	2
78	1
80	2
96	1
97	1
127	1
47	5
50	1
25	1
10	1
19	1
49	1
50	9
58	1
80	1
81	2
113	1
118	1
119	1
70	1
30	1
44	1
13	1
19	1
64	1
111	1
76	1
30	1
50	1
53	1
58	1
69	1
71	1
80	1
90	2
27	1
37	1
44	1
48	1
50	2
53	6
85	1
103	1
120	1
128	1
35	1
107	1
69	1
36	1
115	1
6	1
18	1
32	1
37	1
40	1
47	1
49	1
55	1
89	1
121	1
78	1
44	1
70	1
81	1
113	1
60	1
49	1
113	1
20	2
38	1
86	1
87	1
97	1
99	1
54	1
71	1
23	1
18	1
88	1
84	1
129	1
67	1
4	1
5	1
6	2
10	1
14	1
16	1
21	1
23	1
27	1
32	1
33	1
34	1
35	1
36	1
37	1
38	2
39	2
40	4
43	1
44	1
45	1
46	2
47	3
48	1
49	2
50	4
53	2
55	1
58	1
60	1
61	1
62	2
64	2
67	1
72	1
73	1
74	1
77	2
80	1
81	1
92	1
95	1
98	1
106	1
110	1
112	2
113	1
114	1
115	2
116	2
117	1
119	2
120	1
124	3
127	1
49	1
37	1
99	1
30	1
4	1
23	1
4	9
5	9
56	1
65	1
67	1
79	1
88	1
103	1
126	3
127	2
56	1
96	1
129	1
37	1
81	2
10	1
89	1
28	1
8	1
9	1
10	2
12	2
13	1
14	1
18	2
21	2
26	1
27	1
32	1
34	1
35	1
42	2
45	1
46	1
49	1
50	3
52	1
53	1
55	2
56	1
60	3
63	1
66	1
69	1
73	1
75	3
78	2
80	2
81	1
83	1
84	1
85	1
94	1
96	1
103	1
104	1
109	2
113	1
114	2
115	3
120	2
124	4
126	1
127	1
128	1
129	2
7	2
38	4
49	3
62	1
67	1
68	2
85	1
101	1
48	1
26	1
28	1
43	1
127	8
128	5
60	1
85	1
26	1
40	1
62	1
124	1
26	1
2	1
8	1
11	1
13	1
17	1
19	1
21	1
25	1
27	3
31	1
33	1
36	1
40	1
45	1
47	2
48	1
50	4
56	1
60	1
61	1
62	2
63	1
70	1
71	1
73	1
74	2
75	1
76	2
77	1
81	2
85	2
90	2
96	1
99	1
103	3
104	1
105	2
106	1
112	1
113	3
116	1
120	1
124	1
127	1
27	5
4	1
19	1
60	1
63	1
74	1
76	1
80	1
127	1
122	1
21	1
27	1
31	1
36	1
54	1
90	1
92	3
93	2
18	1
109	1
78	1
48	1
90	1
95	1
47	1
55	1
86	1
108	1
10	1
12	1
13	1
17	1
21	1
25	1
32	1
36	1
40	1
42	2
49	1
50	1
56	1
64	1
65	1
70	1
73	1
80	3
84	1
97	1
99	1
102	1
104	1
107	1
116	1
117	1
119	1
6	1
8	1
13	1
17	1
18	1
19	1
27	3
49	1
52	2
64	1
69	1
84	1
86	1
87	1
98	1
107	2
113	1
116	2
119	1
121	1
6	2
12	1
49	1
74	2
113	1
121	1
109	1
119	1
74	1
26	1
30	1
36	1
43	1
48	1
71	1
78	1
80	2
83	1
85	1
104	1
105	1
80	1
79	1
124	1
77	2
78	1
58	1
2	1
5	1
11	1
13	1
39	1
47	1
53	2
56	1
58	3
60	2
67	1
72	1
74	1
98	1
102	1
103	1
104	1
111	1
114	1
120	2
20	1
26	1
46	1
61	1
62	1
65	1
66	1
75	2
87	1
115	1
124	1
12	1
13	1
26	1
28	1
30	1
48	1
50	1
55	1
56	1
57	3
58	2
60	2
66	1
68	1
70	1
78	1
81	1
84	3
87	1
99	1
